,Paastekomando_nimetus,Paastepiirkond,Koosseis,Pidevalt_valves,Aadress,Paastekomando_pealik,Pealiku_telefon,Teenus,Teenus_2,Teenus_3,Asukoht_N,Asukoht_E,Teenus_4,Teenus_5,Teenus_6,Teenus_7
0,Abja-Paluoja Paastekomando,Viljandimaa,22,4,"Kooli 1, Abja-Paluoja, 69402",Aimar Sikka,"4360112, 5521069",Baasteenus,Vee transport 2,Metsakustutus 2 ja 3,58.12629,25.35733,Päästetöö transport 2,,,
1,Alatskivi Paastekomando,Tartumaa,17,3,"Lossi 3, Alatskivi alevik, Alatskivi v, 60201",Varmo Laumets,"7453784, 5038018",Baasteenus,Vee transport 2,Veepaaste 2,58.60164,27.13141,Metsakustutus 3,,,
2,Annelinna Paastekomando,Tartumaa,58,10,"Jaama 207, Tartu linn, 50705",Jaano Maask,"7337334, 5028342",Baasteenus 2 meeskonda,Kõrgustest pääste 2,Keemiapaaste 2,58.37841,26.77325,Päästetöö transport 3 ja 5,Veepaaste 2 ja 3,Metsakustutus 2,"Päästetöö toetus (STAAP, OLME, TANKUR), Vee transport 2"
3,Antsla Paastekomando,Vorumaa,17,3,"Meistripunkti, Kraavi kyla, Antsla vald, 66409",Toomas Sloog,"7855501, 5052101",Baasteenus,Vee transport 2,Veepaaste 2 ja 3,57.83331,26.54615,Metsakustutus 3,,,
4,Aravete Paastekomando,Jarvamaa,17,3,"Toostuse tee 3, Aravete alevik, Ambla v, 73501",Janno Rodendau (KT),"3832361, 5100544",Baasteenus,Vee transport 2,,59.13132,25.74174,,,,
5,Assaku Paastekomando,Laane-Harju,22,4,"Jarve tee 3, Assaku alevik, Rae v, 75301",Leho Lõiv,5184208,Baasteenus,Päästetöö transport 2,,59.37449,24.85503,,,,
6,Elva Paastekomando,Tartumaa,27,5,"Kirde 14, Elva linn, 61506",Andres  Smirnov,"7367897, 5159520",Baasteenus,"Vee transport 2, 3 ja 4",Päästetöö transport 4 ja 5,58.23346,26.41887,Veepaaste 3,Metsakustutus 3 ja 4,,
7,Haapsalu Paastekomando,Laanemaa,27,4,"Toostuse 19, Haapsalu, 90510",Andres Kaljura,"4725106, 5068525",Baasteenus,Vee transport 2,Toetusteenus 2,58.92908,23.5518,Naftareostuskorje 3,Veepaaste 2 ja 3,Metsakustutus 2 ja 4,"Päästetöö transport 3, 4 , 5 ja 6"
8,Haademeeste Paastekomando,Parnumaa,17,3,"Aiandi 4, Haademeeste, 86001",Enno Teor,"4498100, 56613911",Baasteenus,Vee transport 2,"Veepaaste 2, 3 ja 4",58.08375,24.49864,,,,
9,Iisaku Paastekomando,Ida-Virumaa,22,4,"Vilkuri 1, Iisaku alevik, 41101",Hans Karp,"3393308, 53411677",Baasteenus,Metsakustutus 3 ja 4,Päästetöö transport 2 ja 5,59.0935,27.3123,"Veetransport 2, 3 ja 4",,,
10,Jogeva Paastekomando,Jogevamaa,27,5,"Aia 36 Jogeva, 48307",Hannes Nigulas,"7768319, 5261744",Baasteenus,Vee transport 2,"Päästetöö transport 2, 4 ja 5",58.74539,26.3844,Veepaaste 2 ja 3,Metsakustutus 2 ja 3,,
11,Johvi Paastekomando,Ida-Virumaa,47,8,"Rahu 38, Johvi, 41532",Jarmo Juhanson,"3391936, 55677470",Baasteenus 2 meeskonda,Kõrgustest päästetöö 2,Metsakustutus 2,59.36375,27.40843,Nööripääste 2,"Päästetöö transport 2, 3 ja 5",Veepääste 2 ja 4,Veetransport 2
12,Jarvakandi Paastekomando,Raplamaa,17,3,"Tehaste 18, Jarvakandi, 79101",Marko Matson,"4877301, 5289261",Baasteenus,Vee transport 2,,58.78109,24.81489,,,,
13,Kehra Paastekomando,Ida-Harju,22,4,"Kooli 16, Kehra, 74306",Aivar Kari,"6085001, 5110716",Baasteenus,Vee transport 2,Veepaaste 2,59.32802,25.33357,Metsakustutus 2,Päästetöö transport 4,,
14,Keila Paastekomando,Laane-Harju,27,5,"ylejoe tee 2 A, Keila, 76603",Ragnar Neudorf,"6790530, 5026343",Baasteenus,Vee transport 2,Vahtkustutus 3,59.3097,24.43537,"Veepaaste 2, 3 ja 4",Metsakustutus 2 ja 3,Nööripääste 2,Päästetöö transport 3 ja 4
15,Kesklinna Paastekomando,Ida-Harju,53,10,"Raua 2, Tallinn, 10124",Hengo Metsaru,"6282130, 51932736",Baasteenus,Keemiapääste 2,Kõrgustest päästetöö 2,59.43517,24.76374,,,,
16,Kihelkonna Paastekomando,Saaremaa,17,3,"Kooli 8, Kihelkonna alevik, 93401",Tonis Tasane,"4545007, 53468799",Baasteenus,Vee transport 2,Veepaaste 2 ja 4,58.36266,22.04008,Metsakustustus 3,,,
17,Kihnu Paastekomando,Parnumaa,5,1,"Lemsi k, Kihnu v, 88002",Ago Laos,5010322,Tulekustutus,Vee transport 2,,58.13401,24.00474,,,,
18,Kilingi-Nomme Paastekomando,Parnumaa,17,3,"Pargi 4, Kilingi-Nomme, 86304",Sven Koovit,"4452100, 5251076",Baasteenus,Päästetöö transport 2,Metsakustustus 2,58.14939,24.95024,Veepääste 2,,,
19,Kivioli Paastekomando,Ida-Virumaa,22,4,"Turu 1, Kivioli, 43125",Andres Tartu,"3357478, 5201084",Baasteenus,Veetransport 2,Veepaaste 2,59.35334,26.95368,Vahetkustutus 3,Päästetöö toetus 2 (OLME),Metsakustutus 3,
20,Koeru Paastekomando,Jarvamaa,17,3,"Tiigi 7, Koeru alevik, 73001",Sven Selge,"3854374, 5176167",Baasteenus,Vee transport 2,Metsakustustus 3,58.95962,26.00855,,,,
21,Kohila Paastekomando,Raplamaa,22,4,"Viljandi mnt 11, Kohila alev, 79804",Andrus Ostrov,"4833523, 56473549",Baasteenus,Veepaaste 2,Vee transport 2,59.16434,24.75799,,,,
22,Kohtla-Jarve Paastekomando,Ida-Virumaa,28,5,"Lai 7, Kohtla-Jarve, 30328",Kaido Parts,"3366438, 5037122",Baasteenus,Veetransport 2 ja 4,Keemiapaaste 2,59.3914,27.25716,"Päästetöö transport 2, 4 ja 5",Naftareostuskorje 2 ja 3,"Metsakustutus 2, 3 ja 4",
23,Kopli Paastekomando,Laane-Harju,24,4,"Ankru 12, Tallinn, 11713",Vladimir Geiman,"6676680, 5522613",Baasteenus,Naftareostuskorje 3,"Veepaaste 2, 3 ja 4",59.45488,24.67564,,,,
24,Kose Paastekomando,Ida-Harju,22,4,"Vardja k, Kose v, 75101",Jaanus Jaago,"6061355, 53003134",Baasteenus,Vee transport 2 ja 4,Päästetöö transport 5,59.16712,25.21254,Veepaaste 2 ja 3,Metsakustutus 4,Päästetöö toetus 2 (OLME),
25,Kunda Paastekomando,Laane-Virumaa,22,4,"Staadioni 4, Kunda, 44108",Heldur Lahne,"3221001, 5285821",Baasteenus,Veetransport 2,Päästetöö transport 6,59.50288,26.52396,Veepääste 4,,,
26,Kuressaare Paastekomando,Saaremaa,27,5,"Transvaali 58,  Kuressaare, 93811",Arne Kana,"4549761, 5114520",Baasteenus,Vee transport 2,Kõrgustest pääste 2,58.25504,22.49605,Naftareostuskorje,Veepaaste 2 ja 3,Päästetöö transpordi teenus 2,Vahtkustutustöö teenus 3
27,Kaina Paastekomando,Hiiumaa,17,3,"Mae plats 3, Kaina alevik, 92101",Janno yksik,"4636255, 5238706",Baasteenus,Vee transport 2,"Veepaaste 2, 3 ja 4",58.82949,22.77389,Metsakustutus 2,Päästetöö transport 2,,
28,Kardla Paastekomando,Hiiumaa,17,3,"Korgessaare mnt 47, Kardla , 92412 , Hiiumaa",Martin Kommus,"4622084, 56462189",Baasteenus,Vee transport 2,Naftareostuskorje,58.99424,22.71948,Veepaaste 2 ja 3,Metsakustutus 3,,
29,Lasnamae Paastekomando,Ida-Harju,27,5,"Osmussaare 2, Tallinn, 13811",Pavel Kulikov,"6287490, 53466206",Baasteenus,"Veetransport 2, 3 ja 4","Päästetöö toetus 2 (OLME, STAAP, TANKUR)",59.43452,24.86114,Metsakustutus 2 ja 4,Vahtkustutus 3,Kõrgustest päästetöö 2,Päästetöö transport 3 ja 5
30,Lihula Paastekomando,Pärnumaa,22,4,"Piiri 10, Lihula, 90304",Mikk Luuk,"4778101, 5157566",Baasteenus,Vee transport 2,Veepaaste 2 ja 3,58.67383,23.8273,Naftareostus 3,,,
31,Lillekyla Paastekomando,Laane-Harju,58,10,"Paldiski mnt 47, Tallinn, 10614",Ivo Remmelga,"6678200, 58662459",Baasteenus 2 meeskonda,Kõrgustest päästetöö 2,Varingupaaste 2,59.43205,24.71508,Keemiapaaste 2 ja 3,Päästetöö transport 5,,
