,Päästekomando_nimetus,Piirkond,Struktuuriüksus,Aadress,Lisainfo,Lepingujärgne_väljasõidu_aeg,N,E
0,Aasukalda,Lääne-Virumaa,IPK,"Maarja 7, Viru-Nigula alevik, Viru-Nigula v, 44001","https://www.aasukalda.eu/

https://www.facebook.com/Aasukalda-Maa-ja-Merep%C3%A4%C3%A4stekomando-483756561739162/",10,59.44678,26.69333
1,Iisaku,Ida-Virumaa,IPK,"Tartu mnt 65, Iisaku alevik, Alutaguse v, 41101",,15,59.08286,27.31777
2,Jaama,Ida-Virumaa,IPK,"Jaama k, Alutaguse v, 41204",,10,59.03888,27.71747
3,Kadrina,Lääne-Virumaa,IPK,"Pargi 3, Kadrina alevik, Kadrina v, 45201",https://www.facebook.com/kadrinavpk/,5,59.34058,26.13619
4,Mäetaguse,Ida-Virumaa,IPK,"Kooli 17, Mäetaguse alevik, Alutaguse v, 41301",https://www.facebook.com/M%C3%A4etaguse-Vabatahtlik-P%C3%A4%C3%A4stekomando-262220920638142/,10,59.22195,27.29357
5,Purtse,Ida-Virumaa,IPK,"Lossiaida, Purtse k, Lüganuse v, 43302","http://purtserescue.blogspot.com/

https://www.facebook.com/Purtse-Vabatahtlik-P%C3%A4%C3%A4steVolunteer-Firefighting-295202610490226/",5,59.41979,27.01167
6,Rannu,Lääne-Virumaa,IPK,"Töökoja, Rannu k, Viru-Nigula v, 43408",https://www.facebook.com/rannuvabatahtlik.paaste,10,59.43646,26.84043
7,Roela,Lääne-Virumaa,IPK,"Veski 8, Roela alevik, Vinni v, 46602",https://www.facebook.com/roelavabatahtlikkomando/,5,59.17313,26.60372
8,Simuna,Lääne-Virumaa,IPK,"Pargi 2, Simuna alevik, Väike-Maarja v, 46401","https://www.facebook.com/simunavts/

https://simunavts.wordpress.com/",10,59.04566,26.39896
9,Tabasalu,Harjumaa,IPK,"Ranna tee 4, Tabasalu alevik, Harku v, 76901",,5,59.42559,24.54249
10,Tamsalu,Lääne-Virumaa,IPK,"Tehnika tn 2a, Tamsalu linn, Tapa v, 46107",,10,59.16552,26.10521
11,Tudu,Lääne-Virumaa,IPK,"Allikvee 4, Tudu alevik, Vinni v, 46606",,10,59.17839,26.85196
12,Vajangu,Lääne-Virumaa,IPK,"Tamsalu mnt 24, Vajangu k,  Tapa v, 46002",https://www.facebook.com/Vajangu-Tulet%C3%B5rje%C3%BChing-1934541170166044/,15,59.10672,26.00186
13,Võsu,Lääne-Virumaa,IPK,"Sadama 2, Võsu alevik, Haljala v, 45501",,5,59.57932,25.96301
14,Abruka,Saaremaa,LÄPK,"Abruka k, Saaremaa v, 93826",,10,58.1640899,22.5086253
15,Are,Pärnumaa,LÄPK,"Karja tee, Are alevik, Tori v, 87301",https://www.facebook.com/aretuletorje.vabatahtlik,15,58.51504,24.56448
16,Emmaste,Hiiumaa,LÄPK,"Emmaste k, Hiiumaa v, 92001",,10,58.70302,22.59851
17,Imavere,Järvamaa,LÄPK,"Kadastiku tee 1, Imavere k, Järva v, 72401",https://www.facebook.com/imaverevabatahtlikud/,10,58.737965,25.765338
18,Järva-Jaani,Järvamaa,LÄPK,"Pikk 35, Järva-Jaani alevik, Järva v, 73301","http://www.jjts.ee/

https://www.facebook.com/profile.php?id=147216365821538&ref=content_filter",10,59.03726,25.87917
19,Kabala,Järvamaa,LÄPK,"Kabala k, Türi v, 72001",,15,58.6944,25.63676
20,Kaiu,Raplamaa,LÄPK,"Kasvandu tee 5d, Kaiu alevik, Rapla v, 79301",,10,59.01641,25.05199
21,Karala,Saaremaa,LÄPK,"Karala k, Saaremaa v, 93325",,10,58.26712,21.90233
22,Kehtna,Raplamaa,LÄPK,"Staadioni 13a, Kehtna alevik, Kehtna v, 79001",https://www.facebook.com/profile.php?id=431479087275640&ref=content_filter,10,58.92733,24.87209
23,Kesselaiu,Saaremaa,LÄPK,"Kesse k, Muhu v, 94720",,15,58.63843,23.42317
24,Kirna,Läänemaa,LÄPK,"Madise talu, Väike-Lähtru küla, Lääne-Nigula v, 90636",,15,58.8857,23.86463
25,Koonga,Pärnumaa,LÄPK,"Valla, Koonga k, Lääneranna v, 88401",,15,58.580565,24.15137
26,Kuimetsa,Raplamaa,LÄPK,"Kuimetsa k, Rapla v, 79302",,15,59.04765,25.11447
27,Kõmsi,Pärnumaa,LÄPK,"Kõmsi k, Lääneranna v, 90102",,15,58.62304,23.63152
28,Kõrgessaare,Hiiumaa,LÄPK,"Tööstuse tee 27b, Kõrgessaare alevik, Hiiumaa v, 92201",,15,58.9808,22.4666
29,Kõrkvere,Saaremaa,LÄPK,"Katlamaja, Tornimäe k, Saaremaa v, 94501",https://www.facebook.com/groups/152123131998197/,10,58.502796,23.117338
30,Käru,Järvamaa,LÄPK,"Lao 35, Käru alevik, Türi v, 79201",https://www.facebook.com/MT%C3%9C-K%C3%A4ru-Tulet%C3%B5rje-Selts-1531538333584250/,15,58.834459,25.150976
31,Laukna,Raplamaa,LÄPK,"Laukna k, Märjamaa v, 78101","https://www.facebook.com/mtulauknapritsumeesteselts/
https://lauknapritsumeesteselts.ee/index.php/et/",15,58.9189,24.1681
32,Leisi,Saaremaa,LÄPK,"Kuressaare mnt 12, Leisi alevik, Saaremaa v, 94202","https://www.facebook.com/LeisiVPK
http://vpk.leisi.ee/",10,58.568496,22.684768
33,Lipa,Raplamaa,LÄPK,"Lipa k, Rapla v, 78405",,15,58.90462,24.73374
34,Lokuta,Raplamaa,LÄPK,"Lokuta k, Kehtna v, 79006",,15,58.79743,24.9219
35,Muhu,Saaremaa,LÄPK,"Piiri k, Muhu v, 94730",https://www.facebook.com/MuhuVPK/,10,58.59992,23.19364
36,Mustjala,Saaremaa,LÄPK,"Mustjala k, Saaremaa v, 93601",,10,58.45826,22.233842
37,Nõva,Läänemaa,LÄPK,"Nõva k, Lääne-Nigula v, 91101",https://www.facebook.com/novakomando/?ref=page_internal&mt_nav=0,10,59.22056,23.69677
38,Oisu,Järvamaa,LÄPK,"Oisu alevik, Türi v, 72301",,15,58.75956,25.56775
39,Palivere,Läänemaa,LÄPK,"Palivere alevik, Lääne-Nigula v, 90802",https://www.facebook.com/profile.php?id=293499827935252&ref=content_filter,15,58.96951,23.88656
40,Pihtla,Saaremaa,LÄPK,"Pihtla k, Saaremaa v, 94101",https://www.facebook.com/Pihtla-Vabatahtlik-P%C3%A4%C3%A4stekomando-1479766425602664/,10,58.30202,22.70802
41,Pärnu-Jaagupi,Pärnumaa,LÄPK,"Kooli 4, Pärnu-Jaagupi alev,  Põhja-Pärnumaa v, 87201",https://www.facebook.com/pjts4/,10,58.60925,24.5009
42,Pürksi,Läänemaa,LÄPK,"Pürksi k, Lääne-Nigula v, 91201","http://www.tuletorje.ee/

https://www.facebook.com/profile.php?id=169085753127263&ref=content_filter",10,59.00575,23.52499
43,Ridala,Läänemaa,LÄPK,"Parila k, Haapsalu linn, 90418",https://www.facebook.com/ridalapritsumehed/,15,58.8667,23.61954
44,Ruhnu,Saaremaa,LÄPK,"Ruhnu k, Ruhnu v, 93001",,15,57.79804,23.24645
45,Salme,Saaremaa,LÄPK,"Salme alevik, Saaremaa v, 93201",https://www.facebook.com/salmevpk/,10,58.16299,22.25218
46,Sindi,Pärnumaa,LÄPK,"Kooli 9a, Sindi linn, Tori v, 86703",https://www.facebook.com/sindituleselts,15,58.40514,24.65716
47,Sõrandu,Järvamaa,LÄPK,"Sõrandu k, Järva v, 72508",https://www.facebook.com/profile.php?id=292626854086097&ref=content_filter,15,58.85738,25.85465
48,Taali,Pärnumaa,LÄPK,"Taali k, Tori v, 86818",https://www.facebook.com/Taali-Vabatahtlik-P%C3%A4%C3%A4ste-499036210184667/,15,58.44813,24.76399
49,Tagavere,Saaremaa,LÄPK,"Kareda k, Saaremaa v, 94625",,10,58.51407,22.9049
50,Tali,Pärnumaa,LÄPK,"Tali k, Saarde v, 86101",https://www.facebook.com/Saardepritsumehed/,15,58.07113,24.77137
51,Torgu,Saaremaa,LÄPK,"Iide k, Saaremaa v, 93101",https://turvalinesorve.weebly.com/,10,57.97779,22.07863
52,Vahastu,Raplamaa,LÄPK,"Vahastu k, Rapla v, 79303",,15,58.95081,25.26403
53,Valgu,Raplamaa,LÄPK,"Valgu k, Märjamaa v, 78204",,10,58.81952,24.58699
54,Valjala,Saaremaa,LÄPK,"Posti 18, Valjala alevik, Saaremaa v, 94302",https://www.facebook.com/ValjalaVPK,10,58.407764,22.793862
55,Vana-Vigala,Raplamaa,LÄPK,"Hirvepargi tee 27, Vana-Vigala k, Märjamaa v, 78003",http://ligimesekaitseks.ee/komandod/vana-vigala/,15,58.769777,24.254468
56,Varbola,Raplamaa,LÄPK,"Käbiküla, Märjamaa v, 78230",,15,59.09058,24.47717
57,Vatla,Pärnumaa,LÄPK,"Vatla k, Lääneranna v, 90103",https://www.facebook.com/Vatla-VPK-1274498849256990/,10,58.559057,23.720491
58,Vilsandi,Saaremaa,LÄPK,"Koolinuka, Vilsandi küla,  Saaremaa v, 93421",,10,58.378359,21.839621
59,Vormsi,Läänemaa,LÄPK,"Hullo küla, Vormsi v, 91301",https://www.facebook.com/Vormsi-Merep%C3%A4%C3%A4ste-Selts-Vormsi-SAR-1424267534545353/,10,58.990126,23.24924
60,Väätsa,Järvamaa,LÄPK,"Aasuvälja k, Türi v, 72807",,10,58.89905,25.43752
61,Avinurme,Jõgevamaa,LÄPK,"Tööstuse 1, Avinurme alevik, Mustvee v, 42101",,10,58.98951,26.8508
62,Karksi-Nuia,Viljandimaa,LÄPK,"Pärnu mnt 10, Karksi-Nuia, Mulgi v, 69103",https://www.facebook.com/KarksiNuiaTulekaitseSelts/,15,58.10538,25.54349
63,Karula,Valgamaa,LÄPK,"Karula k, Valga v, 68106",https://www.facebook.com/karulavabatahtlikud/,10,57.75595,26.30211
64,Kolga-Jaani,Viljandimaa,LÄPK,"Viljandi mnt 6, Kolga-Jaani alevik, Viljandi v, 70301",,10,58.53406,25.94311
65,Kõpu,Viljandimaa,LÄPK,"Viljandi mnt 8, Kõpu alevik,  Põhja-Sakala v, 71201",,15,58.32705,25.30782
66,Laeva,Tartumaa,LÄPK,"Laeva k, Tartu v, 60608",,10,58.48797,26.38848
67,Lasva,Võrumaa,LÄPK,"Lasva k,  Võru v, 65401",,10,57.86344,27.18193
68,Lohusuu,Jõgevamaa,LÄPK,"Otsara, Tammispää k, Mustvee v, 42006",,15,58.92461,27.000985
69,Meremäe,Võrumaa,LÕPK,"Meremäe k, Setomaa v 65302",https://www.facebook.com/mtumvp.ee/,10,57.74734,27.47028
70,Misso,Võrumaa,LÄPK,"Misso pritsumaja, Misso alevik, Rõuge v, 65001",https://www.facebook.com/misso.vabatahtlikud,10,57.60252,27.22655
71,Mõisaküla,Viljandimaa,LÄPK,"J Sihveri 5, Mõisaküla, Mulgi v, 69302",,10,58.09284,25.18503
72,Orava,Võrumaa,LÄPK,"Orava k, Võru v 64101",,10,57.88761,27.4543
73,Pala,Tartumaa,LÄPK,"Pala k, Peipsiääre v 49426",,15,58.67527,27.0364
74,Palamuse,Jõgevamaa,LÄPK,"O. Lutsu 5a, Palamuse alevik,  Jõgeva v,  49226",https://www.facebook.com/PalamuseVabatahtlikudPaastjad/,5,58.68703,26.58431
75,Piirissaare,Tartumaa,LÄPK,"Tooni k, Tartu v, 62603",https://www.facebook.com/Piirissaare-Vabatahtlik-Tulet%C3%B5rje-Selts-1579869775573220/,10,58.37885,27.52168
76,Puka,Valgamaa,LÄPK,"Kesk 47, Puka, Otepää v, 67217",,15,58.05679,26.22853
77,Puurmani,Jõgevamaa,LÄPK,"Tallinna mnt 6/1, Puurmani alevik, Põltsamaa v, 49014",,10,58.57731,26.2878
78,Põlgaste,Põlvamaa,LÄPK,"Põlgaste keskus 9, Põlgaste k, Kanepi v, 63123",,10,57.98132,26.88066
79,Rõngu,Tartumaa,LÄPK,"Puiestee põik 2a, Rõngu alevik, Elva v, 61001",https://www.facebook.com/R%C3%B5ngu-Vabatahtlik-P%C3%A4%C3%A4steselts-183704138722954/,5,58.1449,26.24612
80,Rõuge,Võrumaa,LÕPK,"Tehnika 12, Handimiku k, Rõuge v, 66213",https://www.facebook.com/R%C3%B5uge-Priitahtlikud-Pritsimehed-131979127477421/,10,57.72868,26.9029
81,Sangaste,Valgamaa,LÄPK,"Tiidu k, Otepää v,  67010",https://www.facebook.com/groups/203964292959754/,15,57.93401,26.31186
82,Suhka,Võrumaa,LÄPK,"Mäe-Suhka k, Rõuge v, 65128",,10,57.68351,27.1159
83,Tsooru,Võrumaa,LÄPK,"Luhametsa k, Antsla v, 66403",,10,57.76033,26.69995
84,Tõrvandi,Tartumaa,LÄPK,"Papli 4, Tõrvandi alevik, Kambja v, 61715",https://www.facebook.com/torvandipaasteselts/,5,58.3225,26.70803
85,Valgjärve,Põlvamaa,LÄPK,"Valgjärve k, Kanepi v, 63419",,10,58.09028,26.66028
86,Voore,Jõgevamaa,LÄPK,"Voore k, Mustvee v,  49324",,10,58.71962,26.74271
87,Võnnu,Tartumaa,LÄPK,"Tartu 24, Võnnu alevik, Kastre v, 62401",https://www.facebook.com/VonnuVabatahtlikPaaste/,5,58.28381,27.0486
88,Nõo,Tartumaa,LÄPK,"Voika tn 12, Nõo alevik, Nõo vald, 61601",,10,58.271676,26.525757
